code,transcription
a00,Kolera
a000,"Kolera orsakad av Vibrio cholerae 01, biovar cholerae"
a001,"Kolera orsakad av Vibrio cholerae 01, biovar el tor"
a009,"Kolera, ospecificerad"
a01,Tyfoidfeber och paratyfoidfeber
a010,Tyfoidfeber
a011,Paratyfoidfeber A   Paratyfoid feber
a012,Paratyfoidfeber B
a013,Paratyfoidfeber C
a014,"Paratyfoidfeber, ospecificerad"
a02,Andra salmonellainfektioner
a020,Salmonellaenterit
a021,Salmonellaseptikemi
a022,Lokaliserade salmonellainfektioner
a028,Andra specificerade salmonellainfektioner
a029,"Andra salmonellainfektioner, ospecificerade"
a03,"Shigellos (bakteriell dysenteri, rödsot)"
a030,Shigella dysenteriae
a031,Shigella flexneri
a032,Shigella boydii
a033,Shigella sonnei
a038,Annan specificerad shigellos
a039,"Shigellos, ospecificerad"
a04,Andra bakteriella tarminfektioner
a040,Infektion med tarmpatogena Escherichia coli-bakterier
a041,Infektion med tarmtoxiska Escherichia coli-bakterier
a042,Infektion med tarminvasiva Escherichia coli-bakterier
a043,Infektion med tarm hemorragiska Escherichia coli-bakterier
a044,Annan tarminfektion med Escherichia coli
a045,Enterit orsakad av Campylobacter
a046,Enterit orsakad av Yersinia enterocolitica
a047,Enterokolit orsakad av Clostridium difficile
a048,Andra specificerade bakteriella tarminfektioner
a049,"Bakteriell tarminfektion, ospecificerad"
a05,Annan matförgiftning orsakad av bakterier som ej klassificeras annorstädes
a050,Matförgiftning orsakad av stafylokocker
a051,Botulism
a052,Matförgiftning orsakad av Clostridium perfringens
a053,Matförgiftning orsakad av Vibrio parahaemolyticus
a054,Matförgiftning orsakad av Bacillus cereus
a058,Andra specificerade matförgiftningar orsakade av bakterier
a059,"Matförgiftning orsakad av bakterier, ospecificerad"
a06,Amöbainfektion
a060,Akut amöbadysenteri
a061,Kronisk intestinal amöbainfektion
a062,Kolit orsakad av amöba
a063,Amöbom i tarmen
a064,Leverabscess orsakad av amöba
a065,Lungabscess orsakad av amöba
a066,Hjärnabscess orsakad av amöba
a067,Sårbildning i huden orsakad av amöba
a068,Amöbainfektion med annan lokalisation
a069,"Amöbainfektion, ospecificerad"
a07,Andra protozosjukdomar i tarmen
a070,Balantidiasis
a071,Giardiasis
a072,Infektion orsakad av Cryptosporidium
a073,Isosporiasis
a078,Andra specificerade tarmsjukdomar orsakade av protozoer
a079,"Protozosjukdom i tarmen, ospecificerad"
a08,Tarminfektioner orsakade av virus och andra specificerade organismer
a080,Enterit orsakad av rotavirus
a081,Akut gastroenteropati orsakad av Norwalk-faktor
a082,Enterit orsakad av adenovirus
a083,Enterit orsakad av annat specificerat virus
a083a,Coxsackievirus-enterit
a083b,Echovirus-enterit
a083w,Enterit orsakad av annat specificerat virus
a084,Enterit orsakad av icke specificerat virus
a085,Andra specificerade tarminfektioner
a09,Annan gastroenterit och kolit av infektiös och ospecificerad orsak
a090,Annan och ospecificerad gastroenterit och kolit av infektiös orsak
a099,Gastroenterit och kolit av icke specificerad orsak
a15,"Tuberkulos i andningsorganen, bakteriologiskt och histologiskt verifierad"
a150,"Lungtuberkulos, verifierad med mikroskopisk sputumundersökning, med eller utan odling"
a151,"Lungtuberkulos, verifierad endast med odling"
a152,"Lungtuberkulos, verifierad histologiskt"
a153,"Lungtuberkulos, verifierad med icke angiven metod"
a154,"Tuberkulos i intratorakala lymfkörtlar, verifierad bakteriologiskt och histologiskt"
a155,"Tuberkulos i larynx, trakea och bronker, verifierad bakteriologiskt och histologiskt"
a156,"Tuberkulös pleurit, verifierad bakteriologiskt och histologiskt"
a157,"Primär tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt"
a158,"Annan tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt"
a159,"Tuberkulos i andningsorganen, ospecificerad, verifierad bakteriologiskt och histologiskt"
a16,"Tuberkulos i andningsorganen, ej verifierad bakteriologiskt eller histologiskt"
a160,Lungtuberkulos med bakteriologiskt och histologiskt negativt fynd
a161,"Lungtuberkulos, bakteriologisk och histologisk undersökning ej genomförd"
a162,"Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation"
a163,"Tuberkulos i intratorakala lymfkörtlar, utan uppgift om bakteriologisk eller histologisk verifikation"
a164,"Tuberkulos i larynx, trakea och bronk utan uppgift om bakteriologisk eller histologisk verifikation"
a165,Tuberkulös pleurit utan uppgift om bakteriologisk eller histologisk verifikation
a167,Primär tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation
a168,Annan tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation
a169,Tuberkulos i icke specificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation
a17,Tuberkulos i nervsystemet
a170,Tuberkulös meningit
a171,Meningealt tuberkulom
a178,Annan tuberkulos i nervsystemet
a179,"Tuberkulos i nervsystemet, ospecificerad"
a18,Tuberkulos i andra organ
a180,Tuberkulos i skelettet och lederna
a181,Tuberkulos i urin- och könsorganen
a182,Tuberkulös perifer lymfadenopati
a183,"Tuberkulos i tarmarna, peritoneum och mesenterialkörtlarna"
a184,Tuberkulos i hud och subkutan vävnad
a184c,Lupus vulgaris UNS
a184d,Scrofuloderma
a184e,Tuberkulöst erythema induratum
a184f,Tuberkulöst erythema nodosum
a184g,Tuberkulöst hudsår
a184h,Tuberculosis verrucosa cutis
a184j,Acne scrofulosorum
a184k,Lichen scrofulosorum
a184l,Papulonekrotisk tuberkulid
a184x,"Tuberkulos i hud och subkutan vävnad, ospecificerad"
a185,Tuberkulos i öga
a186,Tuberkulos i öra
a187,Tuberkulos i binjurar
a188,Tuberkulos i andra specificerade organ
a19,Miliartuberkulos (utspridd tuberkulos)
a190,"Akut miliartuberkulos, en enda specificerad lokalisation"
a191,"Akut miliartuberkulos, flera lokalisationer"
a192,Icke specificerad akut miliartuberkulos
a198,Annan miliartuberkulos
a199,"Miliartuberkulos, ospecificerad"
a20,Pest
a200,Böldpest
a201,Cellulokutan pest
a202,Lungpest
a203,Meningit av Yersinia pestis
a207,Pestseptikemi
a208,Andra specificerade pestformer
a209,"Pest, ospecificerad"
a21,Tularemi (harpest)
a210,Ulceroglandulär tularemi
a211,Okuloglandulär tularemi
a212,Pulmonell tularemi
a213,Gastrointestinal tularemi
a217,Generaliserad tularemi
a218,Andra specificerade tularemiformer
a219,"Tularemi, ospecificerad"
a22,Mjältbrand
a220,Kutan antrax
a221,Pulmonell antrax
a222,Gastrointestinal antrax
a227,Antraxseptikemi
a228,Andra specificerade antraxformer
a229,"Antrax, ospecificerad"
a23,Undulantfeber
a230,Brucellos orsakad av Brucella melitensis
a231,Brucellos orsakad av Brucella abortus
a232,Brucellos orsakad av Brucella suis
a233,Brucellos orsakad av Brucella canis
a238,Annan specificerad brucellos
a239,"Brucellos, ospecificerad"
a24,Rots och melioidos
a240,Rots
a241,Akut och fulminant melioidos
a242,Subakut och kronisk melioidos
a243,Annan specificerad melioidos
a244,"Melioidos, ospecificerad"
a25,Råttbettsfeber
a250,Spirillos
a251,Streptobacillos
a259,"Råttbettsfeber, ospecificerad"
a26,Erysipeloid
a260,Kutan erysipeloid
a267,Erysipelothrix-septikemi
a268,Andra specificerade former av erysipeloid
a269,"Erysipeloid, ospecificerad"
a27,Leptospiros
a270,Leptospirosis icterohaemorrhagica
a278,Andra specificerade former av leptospiros
a279,"Leptospiros, ospecificerad"
a28,Andra djurburna bakteriesjukdomar som ej klassificeras annorstädes
a280,Pasteurellos
a281,Cat-scratch-feber
a282,Extraintestinal yersinios
a288,Andra specificerade djurburna bakteriesjukdomar som ej klassificeras annorstädes
a289,"Djurburen bakteriesjukdom, ospecificerad"
a30,Lepra
a300,Obestämbar lepra
a301,Tuberkuloid lepra
a302,Borderline-tuberkuloid lepra
a303,Borderline-lepra
a304,Borderline-lepromatös lepra
a305,Lepromatös lepra
a308,Andra specificerade former av lepra
a309,"Lepra, ospecificerad"
a31,Sjukdomar orsakade av andra mykobakterier
a310,Mykobakteriell lungaffektion
a311,Mykobakteriell hudaffektion
a318,Andra specificerade mykobakteriella infektioner
a319,"Mykobakteriell infektion, ospecificerad"
a32,Listerios
a320,Hudlisterios
a321,Meningit och meningoencefalit orsakad av Listeria
a327,Septikemi orsakad av Listeria
a328,Andra former av listerios
a329,"Listerios, ospecificerad"
a33,Stelkramp hos nyfödd
a339,Stelkramp hos nyfödd
a34,Obstetrisk stelkramp
a349,Obstetrisk stelkramp
a35,Annan stelkramp
a359,Annan stelkramp
a36,Difteri
a360,Svalgdifteri
a361,Difteri i nasofarynx
a362,Larynxdifteri
a363,Difteri i hud
a368,Andra former av difteri
a369,"Difteri, ospecificerad"
a37,Kikhosta
a370,Kikhosta orsakad av Bordetella pertussis
a371,Kikhosta orsakad av Bordetella parapertussis
a378,Kikhosta orsakad av andra specificerade bordetellaarter
a379,"Kikhosta, ospecificerad"
a38,Scharlakansfeber
a389,Scharlakansfeber
a39,Meningokockinfektion
a390,Meningokockmeningit
a391,Waterhouse-Friderichsens syndrom
a392,Akut meningokockemi
a393,Kronisk meningokockemi
a394,"Meningokockemi, ospecificerad"
a395,Hjärtsjukdom orsakad av meningokocker
a398,Andra meningokockinfektioner
a399,"Meningokockinfektion, ospecificerad"
a40,Septikemi (blodförgiftning) orsakad av streptokocker
a400,Septikemi orsakad av streptokocker grupp A
a401,Septikemi orsakad av streptokocker grupp B
a402,Septikemi orsakad av streptokocker grupp D
a403,Septikemi orsakad av Streptococcus pneumoniae
a408,Annan specificerad streptokockseptikemi
a409,"Streptokockseptikemi, ospecificerad"
a41,Annan septikemi
a410,Septikemi orsakad av Staphylococcus aureus
a411,Septikemi orsakad av annan specificerad stafylokock
a412,Septikemi orsakad av icke specificerad stafylokock
a413,Septikemi orsakad av Haemophilus influenzae
a414,Septikemi orsakad av anaeroba bakterier
a415,Septikemi orsakad av andra gramnegativa organismer
a418,Andra specificerade septikemier
a419,"Septikemi, ospecificerad"
a42,Aktinomykos (strålsvamp)
a420,Pulmonell aktinomykos
a421,Abdominell aktinomykos
a422,Cervikofacial aktinomykos
a427,Aktinomykotisk septikemi
a428,Andra specificerade former av aktinomykos
a429,"Aktinomykos, ospecificerad"
a43,Nokardios
a430,Pulmonell nokardios
a431,Kutan nokardios
a438,Andra specificerade former av nokardios
a439,"Nokardios, ospecificerad"
a44,Bartonellos
a440,Systemisk bartonellos
a441,Kutan och mukokutan bartonellos
a448,Andra specificerade former av bartonellos
a449,"Bartonellos, ospecificerad"
a46,Rosfeber
a469,Rosfeber
a48,Andra bakteriesjukdomar som ej klassificeras annorstädes
a480,Gasgangrän
a481,Legionärsjuka
a482,Icke-pneumonisk legionärsjuka
a483,Toxic shock syndrome
a484,Brasiliansk purpurafeber
